Start date,End date,Open Price,Close Price,Low Price,High Price,Open Volume,Close Volume,Low Volume,High Volume
18-October-2001,1-November-2001,76.0,75.1,74.25,82.0,876350,325014,151438,876350
2-November-2001,15-November-2001,76.2,85.35,75.7,88.0,271005,305353,129976,937779
19-November-2001,3-December-2001,86.0,92.0,85.4,96.0,659418,262656,260036,1059400
4-December-2001,18-December-2001,92.5,89.8,87.0,98.5,299004,418450,92756,625620
19-December-2001,2-January-2002,90.0,87.8,79.5,93.75,300228,146848,123491,328517
3-January-2002,16-January-2002,88.75,103.8,88.2,107.0,453139,289900,208841,813167
17-January-2002,30-January-2002,103.9,99.85,93.6,114.0,784335,573141,308925,964958
31-January-2002,13-February-2002,101.0,104.3,97.7,107.65,409290,229842,130010,822438
14-February-2002,27-February-2002,105.2,110.8,103.0,115.45,268008,397184,120964,1847777
28-February-2002,13-March-2002,111.25,100.2,98.15,116.75,1471446,412992,152189,1471446
14-March-2002,28-March-2002,100.5,97.65,96.5,104.7,205556,372235,103608,698538
1-April-2002,12-April-2002,98.4,104.95,97.5,106.5,117258,1150349,117258,1150349
15-April-2002,26-April-2002,105.5,113.45,101.75,114.1,297406,405089,112169,1338210
29-April-2002,13-May-2002,113.5,117.35,110.8,122.9,206816,102413,102413,1047976
14-May-2002,27-May-2002,117.0,112.55,104.05,118.95,303326,242292,167590,504123
28-May-2002,10-June-2002,110.9,127.25,105.0,127.9,256546,1673189,256546,1673189
11-June-2002,24-June-2002,130.5,132.55,126.6,136.2,985902,1152187,631520,1706830
25-June-2002,8-July-2002,135.0,143.3,130.6,147.6,1275026,591219,591219,2366455
9-July-2002,22-July-2002,143.9,134.1,132.15,145.35,707474,474248,399709,1273134
23-July-2002,5-August-2002,132.0,124.55,117.55,136.5,1962741,637777,579650,1962741
6-August-2002,20-August-2002,123.0,118.35,113.25,127.05,611930,678167,384330,3172075
21-August-2002,3-September-2002,118.8,122.65,117.7,126.1,616781,188481,188481,1294098
4-September-2002,18-September-2002,121.1,118.9,117.9,126.65,205197,498160,162207,498160
19-September-2002,3-October-2002,118.5,117.3,114.65,119.05,375405,274039,182422,676414
4-October-2002,18-October-2002,117.75,119.35,116.75,124.45,216613,461635,187210,461635
21-October-2002,1-November-2002,120.5,124.15,113.0,129.35,233671,1513526,138232,2308518
4-November-2002,18-November-2002,125.8,130.45,122.75,132.55,491089,1552325,216057,1552325
20-November-2002,3-December-2002,131.4,136.25,130.5,142.7,884125,1136898,638792,1602865
4-December-2002,17-December-2002,136.0,137.55,135.0,143.9,834811,510111,399866,1090929
18-December-2002,1-January-2003,138.4,151.25,137.1,152.45,874628,758548,613999,2064628
2-January-2003,15-January-2003,153.5,148.65,144.75,154.7,908987,463252,463252,908987
16-January-2003,29-January-2003,148.7,154.5,148.25,163.5,631394,1246118,631394,2910930
30-January-2003,12-February-2003,160.0,154.15,149.7,160.0,951821,289988,289988,1514807
14-February-2003,27-February-2003,156.9,149.05,146.75,158.15,700482,2488516,700482,3320184
28-February-2003,13-March-2003,151.5,135.15,133.9,153.4,2902724,1001058,1001058,2902724
17-March-2003,28-March-2003,138.4,133.8,131.35,144.5,1099150,1714958,523212,1714958
31-March-2003,11-April-2003,132.5,136.85,132.15,145.9,1073372,686706,406475,1073372
15-April-2003,29-April-2003,135.1,129.75,125.65,135.1,1491048,937599,506042,1935264
30-April-2003,14-May-2003,131.0,136.45,130.15,137.85,726913,822516,335513,822516
15-May-2003,28-May-2003,137.0,146.6,136.5,148.3,678456,1244229,553372,1244229
29-May-2003,11-June-2003,148.9,150.9,145.9,162.75,4470096,926891,797938,4470096
12-June-2003,25-June-2003,152.0,161.6,147.35,163.1,1014685,1492357,755123,2300070
26-June-2003,9-July-2003,163.5,172.15,158.2,179.45,1333517,711197,711197,3238668
10-July-2003,23-July-2003,173.0,186.7,172.2,204.0,1433995,6621510,1433995,6621510
24-July-2003,6-August-2003,188.25,217.0,187.4,221.7,2400651,4164656,2265889,4634524
7-August-2003,21-August-2003,217.9,247.25,216.1,265.5,3263198,2807910,2807910,5950782
22-August-2003,4-September-2003,247.9,258.3,236.5,265.45,3493205,6873989,2457069,6873989
5-September-2003,18-September-2003,261.0,250.15,243.0,271.75,4522214,4308888,2594435,6900201
19-September-2003,3-October-2003,252.0,281.75,244.35,283.0,4734549,4379150,3348979,5445314
6-October-2003,17-October-2003,283.5,355.95,282.0,363.45,3463510,4225101,3463510,8774578
20-October-2003,30-October-2003,357.0,347.9,322.05,358.95,3664744,13972416,1837823,13972416
31-October-2003,13-November-2003,350.0,356.0,349.2,390.0,5674358,3825786,2652558,7002916
14-November-2003,27-November-2003,359.0,353.2,333.0,368.9,6421153,3271817,1804372,6421153
28-November-2003,11-December-2003,356.0,365.55,352.35,377.5,6822490,2292409,1815801,6822490
12-December-2003,26-December-2003,369.5,424.5,361.5,425.5,4087894,2702668,2262841,4788951
29-December-2003,9-January-2004,420.0,441.4,420.0,460.0,2045847,4478097,1982217,5221715
12-January-2004,23-January-2004,445.0,427.35,386.35,466.45,3669937,4683964,2851874,6744168
27-January-2004,10-February-2004,431.7,416.3,382.5,453.4,3242693,4307736,3242693,8063383
11-February-2004,24-February-2004,417.7,443.7,417.0,456.95,8157335,5449422,3281337,8199304
25-February-2004,10-March-2004,442.0,434.35,411.5,451.8,5244533,5419484,4010846,7722773
11-March-2004,24-March-2004,432.7,356.25,352.15,433.5,4263817,4276265,3775735,7544724
25-March-2004,7-April-2004,359.75,393.1,356.5,413.15,3963217,3792497,2512639,5162423
8-April-2004,22-April-2004,394.4,409.95,386.6,425.0,5356959,3832339,1438375,5356959
23-April-2004,7-May-2004,417.5,345.85,337.7,417.7,2816970,4200081,2366865,5201304
10-May-2004,21-May-2004,340.0,328.7,231.2,344.0,4510123,7124187,4308585,10264107
24-May-2004,4-June-2004,332.0,315.45,288.6,338.35,3983396,5909889,3077698,5909889
7-June-2004,18-June-2004,319.9,280.3,269.75,322.7,7617831,3581935,2142792,7617831
21-June-2004,2-July-2004,265.0,304.3,265.0,311.35,2179172,6300206,2179172,7399141
5-July-2004,16-July-2004,306.85,338.85,285.0,340.15,3249855,5684738,2082252,6573123
19-July-2004,30-July-2004,335.0,392.0,335.0,398.0,4115515,5952281,3788346,7570153
2-August-2004,13-August-2004,391.0,255.75,254.05,409.9,3501002,3246885,3183343,5680955
16-August-2004,27-August-2004,256.5,243.05,241.45,272.8,6674153,2057361,1916199,6674153
